Frete Carreteiro,Data Saída,ORIGEN,DESTINO,KM,Mês,Lat_Origem,Lng_Origem,Lat_Destino,Lng_Destino,Trimestre,Ano,Valor_por_km,Sintético
140.0,5/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.5907172995780591,0
140.0,12/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.5907172995780591,0
135.0,18/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,18/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,19/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,23/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,23/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,27/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,24/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,23/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,23/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,25/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,25/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,25/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,25/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,26/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,26/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
